setup_id,symbol,entry_time,side,exit_reason,net_r,bars_held,mfe_r,mae_r,atr,adx,bias_direction,bias_strength,state_confirmations,trigger_pattern,entry_price,stop_price,target_price
05ae259a-c0a,RECLTD.NS,"2026-04-07 11:00:00",BUY,eod,-0.17,16,0.73,-0.15,1.72,29.7,long,1,3,bullish_engulfing,328.1,324.67,333.25
7779bbc6-7e3,SAIL.NS,"2026-04-24 13:15:00",BUY,eod,-0.18,7,0.56,-0.48,0.94,29.9,long,2,3,hammer,177.8,175.92,180.62
efa3c1ea-f23,NTPC.NS,"2026-03-16 14:15:00",BUY,eod,-0.21,3,0.96,0.0,2.03,22.4,long,2,3,bullish_engulfing,380.9,376.85,386.98
3e730844-e86,ITC.NS,"2026-04-02 14:00:00",BUY,eod,-0.22,4,0.45,-0.38,1.23,27.5,long,2,3,bullish_engulfing,292.5,290.03,296.2
5eaf0c9e-fd6,ICICIBANK.NS,"2026-03-10 14:30:00",BUY,eod,-0.23,2,0.81,-0.02,4.64,31.0,long,1,3,hammer,1307.3,1298.02,1321.22
b5b63f72-bb0,KOTAKBANK.NS,"2026-03-12 13:45:00",SELL,eod,-0.23,5,0.65,-0.58,1.73,42.0,short,1,4,bearish_engulfing,376.8,380.26,371.61
8352db69-a1d,BPCL.NS,"2026-03-24 14:45:00",BUY,eod,-0.27,1,0.42,-0.14,1.97,37.8,long,2,3,bullish_engulfing,281.3,277.36,287.2
39d4533a-d45,ADANIPORTS.NS,"2026-04-15 13:15:00",BUY,eod,-0.29,7,0.52,-0.14,5.39,32.1,long,1,3,hammer,1508.0,1497.22,1524.17
72e2172a-2e5,INDUSINDBK.NS,"2026-04-28 14:00:00",SELL,eod,-0.29,4,0.34,-0.61,4.13,22.2,short,2,3,shooting_star,886.55,894.81,874.16
4f2c57e7-e69,DRREDDY.NS,"2026-04-02 12:30:00",BUY,eod,-0.3,10,0.41,-0.34,7.92,40.0,long,2,3,hammer,1215.9,1200.07,1239.65
a296deeb-dfe,HCLTECH.NS,"2026-03-24 14:15:00",SELL,eod,-0.38,3,0.32,-0.1,6.73,30.9,short,2,3,bearish_engulfing,1375.2,1388.67,1355.0
8abb9659-423,KOTAKBANK.NS,"2026-03-10 10:00:00",BUY,eod,-0.39,20,0.71,-0.45,2.01,36.3,long,2,3,bullish_engulfing,391.4,387.38,397.43
d2fb7a99-59b,ICICIBANK.NS,"2026-03-24 14:30:00",BUY,eod,-0.41,2,0.5,-0.17,5.79,27.1,long,2,3,hammer,1248.1,1236.51,1265.48
5b432cc4-852,RELIANCE.NS,"2026-04-02 14:00:00",BUY,eod,-0.41,4,0.42,-0.74,5.52,27.4,long,2,3,bullish_engulfing,1352.3,1341.27,1368.85
2e6a2a73-bc5,RECLTD.NS,"2026-04-06 14:45:00",BUY,eod,-0.41,1,0.43,-0.02,1.49,20.8,long,2,3,hammer,326.9,323.91,331.38
